date,open,high,low,close,volume,average,barCount
2026-04-15 04:00:00-04:00,118.84,118.98,118.84,118.98,200.0,118.91,2
2026-04-15 04:01:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:02:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:03:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:04:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:05:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:06:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:07:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:08:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:09:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:10:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:11:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:12:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:13:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:14:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:15:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:16:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:17:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:18:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:19:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:20:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:21:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:22:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:23:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:24:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:25:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:26:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:27:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:28:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:29:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:30:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:31:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:32:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:33:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:34:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:35:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:36:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:37:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:38:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:39:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:40:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:41:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:42:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:43:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:44:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:45:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:46:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:47:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:48:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:49:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:50:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:51:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:52:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:53:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:54:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:55:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:56:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:57:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:58:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 04:59:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:00:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:01:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:02:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:03:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:04:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:05:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:06:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:07:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:08:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:09:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:10:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:11:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:12:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:13:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:14:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:15:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:16:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:17:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:18:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:19:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:20:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:21:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:22:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:23:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:24:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:25:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:26:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:27:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:28:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:29:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:30:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:31:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:32:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:33:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:34:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:35:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:36:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:37:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:38:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:39:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:40:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:41:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:42:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:43:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:44:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:45:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:46:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:47:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:48:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:49:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:50:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:51:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
2026-04-15 05:52:00-04:00,118.98,118.98,118.98,118.98,0.0,118.98,0
